Number_of_Customers_Per_Day,Average_Order_Value,Operating_Hours_Per_Day,Number_of_Employees,Marketing_Spend_Per_Day,Location_Foot_Traffic
340,3.9,12,2,457.77,299
419,6.47,11,6,470.91,64
191,2.95,9,6,54.31,346
180,6.87,11,7,23.78,698
383,7.04,9,11,87.11,329
153,9.95,6,13,83.8,813
96,4.77,12,3,71.29,589
211,4.65,17,9,134.07,768
80,8.68,8,2,402.94,321
350,6.19,13,9,214.52,568
459,8.03,9,9,112.58,389
112,6.4,16,3,495.93,204
226,4.85,17,14,379.12,507
317,9.75,12,3,45.56,832
451,8.98,13,8,194.9,696
201,3.86,7,4,31.98,356
478,5.27,9,8,175.89,57
255,4.16,14,5,482.53,237
308,7.5,17,3,74.91,53
342,3.01,7,11,96.57,573
90,7.64,12,13,211.36,877
112,6.61,10,9,130.45,80
367,6.95,8,7,209.17,347
93,4.99,16,5,261.25,211
236,7.24,8,8,451.94,249
130,4.27,16,5,426.57,417
454,3.33,13,9,232.17,792
498,7.67,8,13,434.84,374
163,8.54,7,5,229.16,864
241,9.64,9,11,47.97,200
160,3.55,8,4,98.03,408
338,4.38,6,9,247.69,850
189,5.67,17,8,287.5,775
61,2.78,7,2,225.34,827
65,8.63,10,7,473.73,224
201,3.32,6,10,326.17,644
376,8.21,7,13,473.58,965
296,4.26,14,14,255.15,157
434,5.55,16,6,261.62,430
262,8.28,15,14,187.0,632
303,3.05,10,8,168.34,745
241,9.75,15,12,410.8,758
79,3.91,13,8,47.01,469
270,7.67,9,4,141.34,452
351,5.68,10,10,316.29,360
483,7.58,11,6,240.65,951
318,4.4,16,11,442.59,971
292,7.89,17,3,263.46,911
337,4.94,10,13,73.59,75
269,4.21,15,7,467.26,154
235,8.47,11,14,85.17,517
191,4.8,12,9,495.21,848
148,7.18,8,11,274.71,819
408,6.56,6,2,287.27,971
71,4.45,16,4,319.01,534
205,9.32,12,5,133.86,612
106,6.54,7,4,228.9,936
391,9.38,8,13,141.57,661
373,3.34,8,3,45.38,931
419,5.33,11,9,209.25,227
142,4.09,13,13,398.49,772
485,3.83,6,11,274.2,277
400,2.89,12,9,449.17,865
381,9.13,7,5,184.79,498
288,2.79,15,12,323.24,443
184,9.9,14,8,233.14,788
414,7.87,10,6,354.18,191
145,9.03,16,8,387.17,440
369,4.14,15,14,140.14,633
59,5.31,9,6,315.35,689
58,2.57,6,3,385.51,456
348,3.94,8,3,485.36,559
222,2.58,16,5,219.29,183
118,7.84,14,7,285.95,208
264,7.23,11,14,141.21,851
311,3.25,15,4,11.88,619
339,5.61,12,12,277.42,241
65,5.35,13,6,237.78,797
295,4.93,6,8,20.77,719
343,9.09,9,6,313.37,171
442,9.03,6,7,402.4,792
441,7.59,13,12,322.69,449
335,9.25,12,10,128.21,606
490,3.1,16,13,29.38,810
345,5.15,16,14,141.26,62
141,9.82,15,12,111.83,326
125,7.38,12,10,476.33,932
189,6.75,11,7,203.15,960
167,6.33,17,4,322.33,256
450,2.95,16,8,453.9,100
157,4.47,13,14,423.14,739
114,6.71,11,8,411.0,214
150,3.48,9,6,397.74,726
109,10.0,17,8,258.01,596
93,7.66,12,9,340.07,840
266,8.47,14,8,221.71,889
165,6.9,17,9,40.82,708
370,5.6,12,5,167.15,599
250,3.54,14,10,67.58,171
425,4.13,9,11,473.98,644
58,7.28,9,8,300.56,55
238,9.0,11,4,331.35,156
271,4.88,10,3,276.31,358
139,6.83,15,5,122.05,270
273,7.77,11,3,74.47,374
182,4.86,13,9,175.31,322
484,6.77,15,6,367.47,672
241,6.16,16,4,198.17,681
261,3.0,15,8,407.86,397
468,8.02,13,9,255.18,984
365,6.16,15,11,169.01,358
414,8.71,11,2,247.25,397
162,5.19,8,12,474.1,218
91,4.45,9,2,268.38,79
163,2.59,13,14,23.64,627
176,9.61,13,4,434.76,360
165,5.47,13,10,127.03,458
457,9.18,9,12,415.68,221
354,4.07,9,12,276.5,539
312,9.24,16,5,445.0,869
489,2.86,17,2,63.91,168
259,2.91,12,12,121.77,440
457,7.45,12,9,349.77,91
497,4.21,8,2,247.06,940
357,9.01,17,7,73.16,592
450,5.28,15,2,170.2,360
177,5.86,15,4,232.93,154
379,9.68,7,8,362.96,875
471,6.29,11,2,235.08,448
433,6.39,16,2,136.53,50
63,6.95,12,6,431.16,306
194,9.01,12,4,279.44,298
395,7.71,7,11,86.74,137
456,9.26,16,7,307.28,371
193,8.16,17,7,269.47,885
260,5.2,8,5,474.24,518
69,3.57,17,2,339.77,447
275,2.78,12,10,385.94,508
485,4.5,12,8,57.83,744
257,8.48,13,10,173.32,382
98,9.75,6,13,457.0,148
436,7.81,11,6,22.16,181
313,3.44,17,4,256.99,320
375,5.85,16,8,494.75,695
131,4.49,13,12,367.02,382
499,8.55,15,11,382.63,663
50,5.95,17,9,36.83,675
236,6.67,15,9,215.27,294
423,8.88,9,8,275.01,67
209,4.35,9,9,190.68,707
139,6.34,17,11,29.31,811
202,6.85,7,8,229.83,257
271,7.18,13,2,145.99,905
236,3.05,16,6,151.68,744
75,5.21,17,5,167.08,997
489,3.19,16,8,246.39,96
299,2.58,15,3,475.86,832
243,5.16,13,11,207.49,753
264,4.2,12,3,63.58,998
389,6.16,12,11,131.26,810
410,4.7,11,6,429.72,117
276,4.49,14,13,146.17,746
222,7.27,9,2,404.43,833
376,6.24,16,7,358.11,615
285,6.12,14,3,50.63,447
442,7.27,14,14,471.67,587
329,6.02,6,9,271.47,528
74,7.39,17,7,317.7,982
398,2.73,15,6,101.52,353
490,5.83,11,12,213.98,624
269,8.72,14,4,273.41,540
314,5.73,16,6,223.66,141
186,7.82,8,11,127.21,717
312,7.44,14,11,219.5,808
425,4.51,11,8,166.6,563
446,7.48,7,6,189.35,322
188,5.44,6,10,257.96,818
368,9.85,6,7,431.91,120
422,8.14,15,6,142.63,390
351,3.01,8,14,287.27,639
185,4.46,9,4,52.44,298
96,7.0,9,2,372.85,904
446,4.41,9,5,238.21,229
400,5.26,8,4,465.09,566
162,8.3,17,11,414.51,284
460,3.48,16,10,456.3,254
200,9.93,10,7,260.85,585
458,7.95,6,6,354.93,514
338,5.97,7,5,253.81,81
405,8.84,9,8,411.51,291
329,4.11,8,8,129.13,84
52,5.56,12,3,177.74,208
380,7.77,7,9,405.29,80
449,5.99,11,5,328.62,550
221,6.06,15,9,336.31,746
365,8.19,12,13,62.65,223
302,8.03,9,7,25.91,715
162,3.77,16,10,476.61,894
289,7.16,7,11,243.78,635
358,5.01,15,13,348.97,806
429,6.37,17,14,338.28,758
446,6.72,15,9,473.38,139
305,3.6,14,8,115.47,261
228,6.07,9,4,268.36,729
499,5.38,17,11,258.87,397
264,3.23,10,12,70.43,270
366,6.13,10,5,84.12,78
208,8.99,6,2,174.45,806
148,7.15,7,12,184.71,244
475,3.72,6,9,318.99,761
366,8.39,15,11,483.99,108
295,7.42,8,11,113.08,177
350,4.6,14,11,279.77,304
70,2.84,10,8,81.59,304
423,6.12,11,2,351.54,331
369,6.29,12,2,456.67,919
135,5.95,9,11,181.59,901
157,7.73,8,7,421.82,583
343,6.19,15,6,282.79,367
95,4.17,6,4,338.11,735
222,2.7,13,11,375.76,414
147,3.74,8,2,58.29,948
182,8.98,9,13,183.96,548
267,8.15,17,14,70.02,546
495,9.53,12,10,141.32,238
91,6.23,11,14,135.98,760
138,5.49,16,12,293.16,454
108,7.47,14,13,114.3,584
172,4.02,17,8,256.81,524
315,7.84,15,5,282.84,315
495,5.53,7,8,337.33,733
99,7.41,9,6,59.08,578
221,9.79,6,12,311.98,305
91,6.57,17,2,465.64,100
54,8.21,13,3,250.75,403
272,8.62,15,7,389.58,381
235,8.03,14,6,281.49,788
150,4.0,15,9,229.56,720
161,7.51,13,7,280.34,188
365,9.3,15,13,211.05,132
425,5.15,10,8,112.61,925
316,9.95,15,3,359.92,595
157,4.05,17,12,197.93,444
393,4.83,17,11,125.87,135
379,8.71,15,10,467.39,422
390,7.81,13,7,211.89,497
226,7.92,14,7,282.38,395
360,7.35,17,14,323.3,368
167,5.27,11,12,467.86,230
442,8.97,16,2,158.5,821
190,6.66,14,9,67.36,463
389,8.07,8,4,339.98,784
351,8.76,7,13,349.36,734
389,5.84,6,10,139.93,677
244,7.32,9,9,147.42,890
280,3.7,6,14,58.58,156
130,9.8,10,3,405.66,236
384,9.56,12,10,328.09,73
62,5.73,7,5,422.85,638
456,4.71,11,12,227.09,402
59,9.15,17,4,327.38,61
490,4.55,17,8,359.38,744
201,3.4,10,10,126.79,754
301,3.88,15,9,226.61,346
88,8.97,16,8,82.57,473
243,5.06,12,9,382.16,762
249,8.71,9,5,263.39,705
360,4.62,13,13,178.05,523
122,4.69,7,6,158.72,507
303,4.8,15,2,142.03,131
138,7.97,8,10,48.39,590
411,9.83,13,10,150.27,709
265,3.09,7,7,264.96,855
369,3.42,9,11,19.86,847
83,7.17,11,14,221.18,266
239,9.01,11,5,368.62,516
193,2.54,15,2,134.07,755
273,4.04,16,11,437.95,853
194,9.3,17,13,143.43,302
147,3.72,16,2,89.62,363
59,8.42,12,6,270.36,969
180,4.99,16,7,190.46,701
198,5.57,14,9,252.46,68
223,3.52,7,7,37.4,732
336,7.89,7,9,407.03,870
256,7.86,10,5,231.05,932
308,3.5,17,4,284.46,409
144,3.22,10,13,294.09,718
483,4.78,6,6,487.79,144
428,7.33,8,11,431.07,623
473,3.42,12,7,352.66,761
484,9.12,14,8,195.69,367
342,7.97,12,12,202.9,402
132,9.08,12,12,133.08,347
90,3.29,9,14,19.79,908
78,5.48,9,3,99.09,613
88,9.98,17,5,187.27,582
83,2.84,15,6,202.49,89
265,3.16,17,12,298.33,193
96,4.71,10,6,384.01,484
111,6.91,14,4,324.97,582
384,7.46,8,14,308.64,580
286,5.95,12,11,492.62,309
121,4.48,17,7,169.53,351
161,6.31,12,2,197.95,779
225,3.26,8,9,251.58,116
445,3.57,7,9,454.66,601
347,7.57,6,6,300.85,290
265,2.5,15,7,342.54,84
387,2.69,13,2,234.3,145
340,8.28,8,5,148.92,347
58,4.53,13,2,361.0,628
213,2.93,14,3,471.53,744
421,4.72,12,6,310.22,956
88,9.19,8,11,104.88,541
433,8.51,15,2,235.75,940
268,7.3,16,2,146.33,690
228,3.96,6,2,336.69,877
358,6.17,16,7,203.46,758
235,6.29,8,11,103.71,514
335,9.85,9,4,204.07,807
70,7.81,10,3,273.27,237
288,7.95,12,2,163.29,118
269,7.57,13,4,366.31,940
322,3.75,7,13,277.84,976
434,6.59,10,7,252.35,726
379,5.78,17,8,12.87,941
276,6.79,6,2,88.1,301
101,5.43,13,13,247.1,952
51,3.63,12,3,195.37,967
193,2.89,12,8,310.45,582
254,5.11,9,11,93.83,976
362,6.2,16,7,482.32,101
394,6.86,7,6,55.84,712
51,9.83,15,5,468.72,408
373,3.4,13,10,253.99,215
107,6.96,16,9,249.59,909
288,6.27,9,6,299.52,177
101,6.45,12,13,271.2,947
136,9.7,14,7,56.42,745
228,8.8,11,8,96.44,782
54,4.64,11,9,46.47,816
127,3.89,15,5,246.29,711
281,9.63,15,6,59.3,295
88,9.73,16,3,74.54,812
159,9.3,9,6,142.47,570
422,5.58,9,5,238.52,962
476,2.85,10,3,306.48,144
317,9.36,17,6,161.59,654
361,5.76,8,11,463.83,740
64,8.51,12,8,362.16,877
117,9.63,17,5,144.84,143
459,4.66,10,3,128.26,598
244,5.24,11,4,354.4,759
306,4.24,8,4,312.73,352
499,7.2,6,7,394.15,785
259,9.6,16,4,210.37,628
207,6.54,11,7,462.41,729
300,5.12,6,13,255.83,529
112,3.04,11,8,166.81,582
264,9.76,11,11,228.48,552
290,3.29,11,9,28.8,752
104,4.76,7,7,363.32,469
96,4.74,15,13,35.94,452
194,7.76,6,7,349.47,207
103,3.68,14,3,17.9,815
420,4.43,16,2,106.03,931
308,5.72,15,6,274.98,659
388,9.69,12,14,360.2,535
389,3.8,12,11,88.88,687
367,3.46,17,10,253.2,158
333,9.97,11,7,492.44,596
384,5.38,9,9,311.52,284
230,8.63,6,10,166.95,476
215,4.71,9,6,89.82,234
194,3.28,15,4,392.83,121
320,5.06,13,9,438.62,499
288,7.58,8,6,306.95,192
427,4.75,11,13,473.43,61
273,7.13,7,5,18.31,939
319,7.39,11,12,294.58,609
88,3.49,10,5,498.46,577
68,5.29,6,9,138.51,393
491,9.86,12,3,192.87,570
160,6.04,12,5,158.65,917
343,7.51,11,11,334.12,342
161,4.77,13,10,396.75,987
345,7.8,6,13,467.46,281
54,3.63,11,8,65.48,940
326,2.64,16,11,35.62,888
226,2.89,13,12,365.21,905
450,4.58,12,4,116.71,495
149,8.6,10,6,266.88,543
420,3.39,17,7,276.27,932
167,3.01,10,11,423.4,592
299,3.48,17,11,292.82,972
317,5.46,11,2,28.39,887
245,3.04,11,5,304.26,978
203,4.03,17,10,430.79,439
175,8.54,8,9,490.57,489
230,7.51,16,12,473.63,452
471,4.28,11,7,235.73,352
98,9.73,13,10,197.75,700
398,8.67,17,11,248.81,543
357,9.94,12,7,400.74,714
463,7.19,6,9,214.55,558
410,6.2,15,10,93.68,88
362,4.2,8,2,236.29,725
324,9.27,10,3,161.92,986
375,7.09,13,2,242.83,949
180,9.18,15,14,31.5,595
395,7.55,16,14,429.52,523
53,8.92,10,8,133.77,123
114,2.98,10,8,80.71,735
288,7.52,6,7,86.7,195
69,9.0,12,11,243.73,663
359,5.18,11,14,335.23,283
62,7.38,7,8,349.04,308
322,7.01,15,3,107.59,967
147,2.81,6,9,481.55,90
176,3.28,14,5,285.18,472
273,7.97,13,5,48.47,695
367,7.31,17,13,255.43,691
413,7.8,11,13,248.34,513
473,4.56,11,10,40.0,731
74,4.04,7,5,244.93,50
414,4.79,14,11,460.7,385
403,7.68,13,2,207.11,487
118,7.71,9,10,393.63,120
278,8.66,16,10,246.7,165
471,3.05,16,7,53.72,541
322,7.05,6,10,229.94,396
278,8.17,15,2,194.64,487
87,4.83,16,14,276.96,530
302,3.24,7,11,484.78,88
335,5.69,11,12,311.1,949
320,8.16,6,8,392.53,602
387,4.02,14,2,145.94,271
196,9.08,10,7,206.16,203
398,2.64,8,9,247.58,56
87,9.98,8,9,209.94,137
237,3.38,12,7,301.75,330
111,6.38,11,3,408.44,530
251,6.91,8,5,344.76,315
227,9.12,10,12,185.18,608
497,9.72,8,11,157.03,254
304,9.52,8,4,245.29,204
119,6.95,11,9,108.58,142
337,5.71,16,13,316.66,760
74,8.06,17,13,74.23,823
234,2.94,10,3,50.8,110
295,3.74,6,9,355.2,862
231,5.29,12,9,87.67,666
495,9.95,17,4,11.79,417
170,5.66,7,5,211.45,431
494,2.52,8,3,51.54,257
210,7.55,10,6,341.88,603
372,6.41,11,4,466.11,913
431,8.01,7,9,102.43,788
155,8.64,16,7,219.56,203
58,5.53,10,10,241.23,212
168,5.76,11,9,69.37,650
208,9.5,13,6,120.05,516
68,5.62,8,7,334.33,198
199,3.15,16,11,259.89,734
240,3.76,7,4,101.8,952
354,4.44,13,13,478.04,916
416,4.39,6,14,71.81,796
300,8.93,13,5,45.64,108
474,4.61,13,10,429.4,219
308,7.36,13,4,108.08,900
496,6.46,6,4,53.78,557
198,6.27,6,12,35.46,538
144,2.79,14,2,240.2,687
453,9.93,12,7,474.97,563
313,7.34,13,7,452.94,447
195,3.03,16,8,479.31,713
149,5.26,6,10,259.66,498
491,3.73,11,8,388.2,282
391,7.69,17,14,419.86,782
364,8.52,8,13,238.09,390
352,2.86,13,2,243.8,689
165,4.58,8,7,124.82,767
399,5.85,8,14,276.62,245
327,7.31,13,3,231.59,78
371,2.95,16,2,153.01,829
243,2.54,16,9,105.47,356
172,9.52,16,5,247.79,506
427,9.31,12,7,346.84,940
351,9.26,13,6,233.18,224
285,9.04,14,10,10.63,923
82,6.7,12,4,226.92,874
129,8.24,11,12,207.79,755
457,7.08,7,3,356.33,612
492,3.31,14,14,110.88,578
425,5.12,15,2,89.47,897
387,9.11,13,14,123.72,496
408,3.99,15,4,34.75,645
216,8.46,14,7,458.42,622
248,7.78,8,3,451.58,774
138,5.39,9,9,376.35,541
201,8.27,16,6,345.26,675
129,8.8,9,6,52.2,275
50,8.39,13,12,499.29,995
313,6.39,15,8,468.41,577
210,4.13,6,9,364.43,416
200,8.35,10,2,457.73,92
183,4.01,7,7,110.54,684
103,9.73,7,14,56.33,477
56,8.5,17,2,463.08,373
285,8.99,17,13,459.16,299
183,7.58,17,14,103.73,658
60,6.58,15,12,130.54,756
143,5.64,15,8,113.04,503
72,4.71,13,7,454.96,57
76,3.71,8,2,328.43,96
206,3.32,14,9,161.83,786
88,5.09,11,9,91.75,957
168,4.19,14,13,43.33,348
254,2.99,16,12,447.82,596
62,6.48,10,11,260.92,144
171,6.93,15,11,180.17,68
307,9.82,6,11,103.07,637
104,8.77,9,3,404.89,847
187,8.67,14,14,324.63,121
305,7.98,6,14,161.09,513
332,4.75,14,6,42.83,506
229,2.54,15,10,103.64,560
428,6.59,12,9,484.72,883
338,8.95,15,2,209.32,82
361,5.98,10,6,366.96,265
415,7.03,16,2,21.7,881
152,8.78,14,2,341.79,825
483,2.73,15,6,438.1,929
264,9.7,9,10,451.44,436
459,9.05,9,7,165.46,531
370,7.01,11,14,107.48,904
477,4.45,6,6,124.69,180
169,5.88,16,4,268.63,284
155,8.63,17,6,175.36,270
301,5.63,10,3,465.66,948
152,8.53,15,5,158.36,615
442,3.08,9,10,74.96,453
313,7.82,16,8,281.51,765
397,2.8,8,11,131.66,224
288,8.95,9,11,349.51,790
89,6.88,13,14,78.46,322
329,9.41,14,10,242.52,627
148,7.96,7,10,364.19,955
130,7.83,10,13,53.93,473
150,8.77,15,12,436.69,275
252,2.93,8,12,256.58,885
171,9.54,16,6,441.84,698
74,6.34,16,7,455.12,329
495,5.09,14,7,447.31,551
194,9.1,16,3,167.08,366
323,9.77,17,10,329.62,466
201,4.35,10,10,275.46,236
447,5.8,10,13,154.4,841
100,5.11,7,13,388.69,57
328,8.67,15,12,490.9,554
306,8.88,8,7,411.52,74
370,3.62,6,13,211.3,758
371,6.92,11,3,221.89,277
317,7.11,9,11,445.41,868
379,2.68,17,2,144.61,169
135,4.21,14,8,51.26,125
301,6.11,10,3,400.23,277
278,5.1,7,14,487.63,848
397,3.02,15,5,442.04,736
259,8.84,12,9,246.18,748
147,9.41,10,11,181.98,600
463,8.63,7,10,492.94,620
244,9.45,8,3,166.42,936
264,6.74,12,5,474.91,634
446,6.83,13,14,371.76,844
374,3.96,6,9,312.87,706
248,3.86,16,6,213.35,565
177,9.91,8,4,172.15,752
353,8.98,8,6,253.4,811
466,3.16,9,6,14.46,741
190,8.63,16,5,460.74,652
141,9.66,9,2,337.84,67
373,5.55,13,13,235.83,204
170,2.64,17,14,149.93,141
480,7.88,10,4,36.71,533
182,9.35,6,7,474.34,262
203,3.64,17,8,166.66,991
263,3.05,9,4,379.37,779
50,9.89,12,5,226.51,595
166,6.41,8,5,488.18,379
155,3.04,11,8,316.87,349
324,7.72,10,4,14.88,187
233,5.18,10,9,235.22,569
377,4.11,13,5,325.91,989
255,4.64,16,6,262.44,811
241,6.3,13,4,435.18,692
50,7.3,12,11,164.07,574
334,4.85,9,5,264.02,457
125,7.66,7,13,50.86,826
428,8.48,13,9,124.26,170
342,5.07,10,7,242.15,768
348,3.51,15,3,138.22,190
365,6.5,9,4,86.37,812
335,5.71,6,9,357.36,852
275,8.04,14,10,145.86,735
166,6.99,11,6,132.68,891
351,4.61,12,14,387.29,590
310,2.8,17,3,80.5,283
275,9.88,6,11,277.09,342
321,8.24,12,11,441.82,690
83,7.43,6,11,179.36,108
435,6.31,16,14,129.37,589
390,6.32,16,3,406.31,522
487,5.6,11,8,494.67,758
457,5.25,17,3,62.34,897
84,7.25,14,3,274.43,329
108,5.48,12,13,305.58,584
306,7.27,6,10,317.13,847
344,4.57,13,14,485.9,889
365,7.55,17,13,421.98,614
160,9.32,16,4,68.68,638
200,9.84,14,13,496.49,406
225,2.97,9,5,25.22,271
466,9.19,12,10,484.53,182
56,6.58,17,14,149.77,898
226,8.82,6,8,76.4,455
414,8.46,15,9,483.23,836
61,5.35,17,5,256.54,686
439,2.89,9,5,73.24,779
153,5.8,10,11,492.32,596
286,9.04,6,14,315.25,240
121,8.32,8,8,40.99,135
256,8.07,11,6,399.82,239
264,7.6,13,14,318.08,885
202,5.98,11,2,229.18,576
493,5.7,17,11,458.75,737
354,7.28,14,11,468.06,413
148,2.75,13,5,125.99,474
430,9.68,12,5,263.64,711
55,8.8,8,2,187.22,546
313,3.41,11,14,139.87,520
318,4.06,13,5,52.21,515
148,6.98,17,9,338.0,469
203,8.83,14,14,245.27,242
272,4.24,16,2,192.43,499
321,4.82,13,6,339.17,166
437,8.12,10,5,208.55,219
467,7.77,12,7,361.85,488
164,4.31,9,11,171.37,736
490,3.04,6,9,483.26,885
469,7.66,17,2,108.69,432
83,5.67,11,2,438.63,811
499,3.46,12,12,268.23,805
171,8.24,13,12,42.16,724
396,2.59,11,5,429.94,941
102,7.56,8,10,182.63,644
456,3.88,6,3,373.03,276
91,7.08,7,4,176.71,926
331,8.55,12,2,465.92,628
145,7.99,15,5,319.46,402
392,4.37,17,4,326.12,552
287,8.52,8,3,194.37,672
373,5.01,9,6,498.74,335
361,8.92,9,3,114.63,756
310,4.38,11,7,82.25,383
388,9.39,10,9,66.22,633
50,3.9,13,11,292.7,629
489,5.74,14,4,224.64,890
426,8.48,9,10,271.93,594
251,4.1,10,10,37.75,882
88,7.18,10,9,197.7,75
436,7.06,8,7,35.65,870
367,5.47,17,14,294.59,109
152,6.74,14,4,106.62,97
395,8.03,16,6,42.26,264
252,6.91,8,7,80.77,930
209,9.7,12,12,150.28,551
437,3.81,8,3,230.3,383
349,4.28,16,4,466.43,431
489,5.04,14,3,167.63,931
239,7.24,9,8,371.34,842
340,3.37,9,5,112.03,430
102,4.3,10,14,126.68,701
337,3.29,7,11,73.86,283
443,3.81,11,5,212.7,827
435,6.84,14,4,106.87,689
231,5.17,13,14,388.02,795
456,4.35,10,2,194.15,284
377,6.24,17,11,13.66,119
180,5.77,9,6,251.04,176
58,8.48,11,14,438.03,351
310,3.19,16,2,213.07,907
247,4.58,17,7,374.77,837
310,5.85,9,14,205.86,276
276,7.03,17,14,276.61,87
476,6.07,17,9,13.61,50
219,7.38,14,10,149.85,366
177,6.33,8,4,255.95,896
379,8.21,14,8,99.49,773
250,3.57,15,13,263.83,845
88,5.16,9,2,396.14,459
224,3.27,6,3,42.97,541
193,2.82,16,13,280.33,867
226,5.74,6,4,223.67,820
61,8.81,16,2,127.72,565
415,6.09,13,2,129.3,610
85,4.16,6,6,72.43,900
321,5.74,13,11,111.68,763
222,7.32,9,14,307.42,220
212,8.83,9,6,214.68,81
355,4.25,11,7,324.98,164
198,2.91,14,4,303.65,324
125,9.58,7,3,169.45,154
377,5.98,11,12,157.71,270
439,5.74,12,14,53.31,616
484,3.02,10,2,328.89,932
112,9.45,15,7,189.61,369
210,6.22,13,7,334.37,504
207,5.35,12,11,18.86,322
451,8.19,9,5,278.33,960
251,7.81,9,2,204.18,962
245,6.13,7,13,99.63,767
66,2.5,9,4,196.16,356
237,7.86,14,12,353.63,936
292,9.76,17,2,37.6,509
358,6.24,17,6,132.45,633
158,7.26,6,10,455.41,385
420,6.72,11,14,474.45,411
114,7.56,15,2,421.6,898
112,6.68,12,13,419.7,817
387,7.2,17,11,187.15,734
298,7.46,7,3,286.83,941
125,5.96,11,12,467.68,323
342,8.36,17,6,102.68,502
181,8.04,16,4,458.03,653
216,9.8,15,11,125.17,855
384,3.72,6,10,413.63,741
495,6.65,16,9,92.61,413
197,8.53,9,12,129.93,105
477,5.89,16,5,256.41,505
130,8.79,14,7,126.16,68
445,8.32,11,11,25.92,164
236,9.97,15,3,106.65,676
158,7.94,12,8,220.87,999
196,8.56,12,5,417.65,388
214,4.85,15,9,404.89,792
88,2.99,13,13,424.3,162
395,6.11,8,7,35.64,695
153,3.16,10,3,146.29,527
414,6.79,9,11,472.17,106
308,7.26,16,8,331.16,632
160,4.41,14,13,48.08,541
206,8.85,16,11,462.38,697
462,8.03,10,2,235.21,368
468,7.71,8,8,433.26,493
74,8.32,10,5,113.16,805
220,8.96,12,7,104.02,349
112,8.42,17,14,65.18,174
86,7.05,10,2,273.32,587
225,4.2,12,11,403.32,590
456,3.36,15,11,260.65,715
299,6.42,17,5,320.55,229
75,3.22,10,5,401.85,615
376,9.97,10,5,74.01,182
469,7.6,15,8,156.72,760
261,6.16,14,13,170.23,415
55,4.43,17,3,115.53,130
440,7.22,11,10,387.9,722
219,3.02,6,7,155.63,260
210,8.37,8,9,29.89,924
435,5.96,6,3,295.25,812
122,8.19,12,14,272.84,150
225,3.11,6,9,26.38,926
404,6.37,10,6,380.89,298
105,3.01,11,7,12.62,235
492,9.08,10,3,178.55,634
251,4.04,13,2,214.8,966
423,6.19,11,14,161.37,193
207,4.09,16,11,322.33,986
286,9.72,13,7,285.7,541
445,9.42,9,5,322.73,290
180,7.71,14,11,208.28,851
345,2.71,9,9,336.85,725
233,9.67,11,4,330.46,750
272,4.75,14,5,188.42,101
386,7.1,14,6,335.37,824
186,7.19,17,12,138.58,637
404,5.09,9,14,34.39,378
498,6.5,15,3,350.12,305
213,3.89,11,12,53.19,896
460,7.2,7,12,31.39,184
135,8.98,17,14,188.87,436
350,5.86,12,4,22.66,885
293,3.57,6,8,387.51,306
352,5.69,11,8,77.74,705
102,7.48,15,13,466.81,477
469,7.79,13,14,214.81,75
102,9.89,7,14,247.26,907
196,5.49,10,2,155.81,934
244,5.76,13,8,160.06,615
174,2.93,16,8,149.3,651
276,8.79,6,10,407.2,827
447,2.89,11,8,248.08,916
150,8.53,16,13,60.94,519
467,7.6,12,14,373.24,904
66,9.86,15,8,95.65,369
